Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,185,9,Some Random Commen with Id 0
1,0,7,164,8,Some Random Commen with Id 1
2,0,7,24,1,Some Random Commen with Id 2
3,0,7,146,8,Some Random Commen with Id 3
4,0,7,14,1,Some Random Commen with Id 4
5,0,7,180,2,Some Random Commen with Id 5
6,0,7,90,1,Some Random Commen with Id 6
7,1,3,182,0,Some Random Commen with Id 7
8,1,3,159,5,Some Random Commen with Id 8
9,1,3,189,5,Some Random Commen with Id 9
10,1,3,80,5,Some Random Commen with Id 10
11,2,6,15,9,Some Random Commen with Id 11
12,2,6,161,7,Some Random Commen with Id 12
13,2,6,40,8,Some Random Commen with Id 13
14,2,6,0,5,Some Random Commen with Id 14
15,2,6,114,0,Some Random Commen with Id 15
16,2,6,101,4,Some Random Commen with Id 16
17,3,7,123,9,Some Random Commen with Id 17
18,3,7,31,9,Some Random Commen with Id 18
19,3,7,187,8,Some Random Commen with Id 19
20,3,7,142,5,Some Random Commen with Id 20
21,3,7,184,7,Some Random Commen with Id 21
22,3,7,89,1,Some Random Commen with Id 22
23,3,7,191,1,Some Random Commen with Id 23
24,4,0,109,0,Some Random Commen with Id 24
25,5,4,32,7,Some Random Commen with Id 25
26,5,4,77,4,Some Random Commen with Id 26
27,5,4,143,8,Some Random Commen with Id 27
28,5,4,121,0,Some Random Commen with Id 28
29,5,4,53,6,Some Random Commen with Id 29
30,5,4,162,3,Some Random Commen with Id 30
31,5,4,161,0,Some Random Commen with Id 31
32,5,4,108,8,Some Random Commen with Id 32
33,6,1,25,0,Some Random Commen with Id 33
34,6,1,5,7,Some Random Commen with Id 34
35,6,1,142,5,Some Random Commen with Id 35
36,6,1,144,4,Some Random Commen with Id 36
37,6,1,36,8,Some Random Commen with Id 37
38,7,4,90,1,Some Random Commen with Id 38
39,7,4,31,8,Some Random Commen with Id 39
40,7,4,135,0,Some Random Commen with Id 40
41,7,4,74,7,Some Random Commen with Id 41
42,8,9,95,1,Some Random Commen with Id 42
43,9,1,51,8,Some Random Commen with Id 43
44,9,1,159,9,Some Random Commen with Id 44
45,9,1,57,2,Some Random Commen with Id 45
46,9,1,51,3,Some Random Commen with Id 46
47,9,1,95,2,Some Random Commen with Id 47
48,9,1,74,1,Some Random Commen with Id 48
49,10,8,119,0,Some Random Commen with Id 49
50,10,8,74,2,Some Random Commen with Id 50
51,10,8,145,7,Some Random Commen with Id 51
52,10,8,17,7,Some Random Commen with Id 52
53,10,8,57,8,Some Random Commen with Id 53
54,11,4,82,2,Some Random Commen with Id 54
55,11,4,36,9,Some Random Commen with Id 55
56,11,4,193,2,Some Random Commen with Id 56
57,11,4,6,8,Some Random Commen with Id 57
58,11,4,44,4,Some Random Commen with Id 58
59,11,4,46,0,Some Random Commen with Id 59
